Timestamp,URL,Status,nca_registration_date,modification_date
2025-05-04 10:00:46,https://capitalsxplus.com,Not Alive,nan,2025-04-01
2025-05-04 10:00:30,https://zodiamarkets.vip,Not Alive,2025-05-02,2025-05-09
2025-05-04 10:00:37,https://ylchat.com,Not Alive,2024-08-07,2025-04-25
2025-05-04 10:00:33,https://aaaxmcfd.com,Not Alive,2025-05-06,2025-04-28
2025-05-04 10:00:25,https://aaaxmglomarkets.com,Alive,2025-04-30,2025-04-28
2025-05-04 10:00:45,https://xchar.cc,Not Alive,2025-05-06,2025-04-01
2025-05-04 10:00:35,https://v3option.com,Alive,2025-04-16,2025-04-28
2025-05-04 10:00:57,https://trademx365.com,Not Alive,nan,2025-04-01
2025-05-04 10:00:36,https://catradeteinc.com,Alive,2024-08-07,2025-05-02
2025-05-04 10:00:26,https://trademate.pro,Not Alive,2025-04-17,2025-04-01
2025-05-04 10:00:14,https://tradematemx.com,Not Alive,2025-04-29,2025-04-01
2025-05-04 10:00:30,https://tpcmetatrader.com,Alive,2025-05-06,2025-05-02
2025-05-04 10:00:50,https://tmgmltd.com,Alive,2024-08-07,2025-04-25
2025-05-04 10:00:26,https://temaketltd.com,Not Alive,nan,2025-05-02
2025-05-04 10:00:40,https://tauforex.net,Not Alive,2024-08-07,2025-05-02
2025-05-04 10:00:46,https://tasmaltd.com,Alive,2025-04-30,2025-05-02
2025-05-04 10:00:34,https://tasmanltd.com,Alive,2025-05-02,2025-05-09
2025-05-04 10:00:26,https://straitsfxvip.com,Alive,2025-02-17,2025-04-01
2025-05-04 10:00:42,https://straitsfx.com,Not Alive,nan,2025-04-25
2025-05-04 10:00:30,https://stockfxmarkets.com,Not Alive,2024-11-05,2025-04-25
2025-05-04 10:00:36,https://pcssgapro.gdcyls.com,Alive,2025-02-17,2025-04-25
2025-05-04 10:00:33,https://pcssgapro.glennallan.com,Alive,2025-04-17,2025-05-09
2025-05-04 10:00:43,https://sqlqdmarts.com,Not Alive,2025-05-02,2025-05-09
2025-05-04 10:00:44,https://sownotx.com,Not Alive,2025-04-29,2025-04-25
2025-05-04 10:00:40,https://skylineltdfx.com,Not Alive,2025-04-16,2025-05-02
2025-05-04 10:00:24,https://skncoin.com,Not Alive,2025-04-29,2025-04-01
2025-05-04 10:00:19,https://sknfx.net,Alive,2025-04-30,2025-04-01
2025-05-04 10:00:15,https://sstraderltd.com,Not Alive,2025-04-23,2025-04-01
2025-05-04 10:00:40,https://ssjtcf-forex.com,Alive,2025-04-17,2025-05-09
2025-05-04 10:00:57,https://shtne.vip,Alive,2025-04-30,2025-04-28
2025-05-04 10:00:38,https://ssjtcf-forex.com,Not Alive,2025-04-29,2025-04-28
2025-05-04 10:00:31,https://sedxltd.com,Not Alive,2025-04-23,2025-04-28
2025-05-04 10:00:39,https://saxoasin.com,Alive,nan,2025-04-28
2025-05-04 10:00:35,https://saxobankasia.com,Alive,2024-08-07,2025-05-02
2025-05-04 10:00:23,https://rivergloballtd.com,Not Alive,2025-04-16,2025-04-01
2025-05-04 10:00:58,https://prudentialweb.bizdw.com,Alive,2025-05-02,2025-04-25
2025-05-04 10:00:43,https://pepperstonevip.com,Not Alive,nan,2025-04-25
2025-05-04 10:00:55,https://parrtd.com,Not Alive,2025-04-17,2025-04-28
2025-05-04 10:00:21,https://onewaytex.com,Alive,2025-05-06,2025-04-28
2025-05-04 10:00:42,https://xynnyse.com,Not Alive,2025-04-16,2025-04-25
2025-05-04 10:00:26,https://yqanyse.com,Alive,2025-04-29,2025-05-02
2025-05-04 10:00:32,https://yqenyse.com,Alive,2025-04-30,2025-04-01
2025-05-04 10:00:18,https://novalimited.info,Not Alive,2025-02-17,2025-04-25
2025-05-04 10:00:58,https://newsmarketsltd.com,Alive,2024-08-07,2025-05-09
2025-05-04 10:00:55,https://neonskytd.com,Alive,2025-05-02,2025-05-02
2025-05-04 10:00:19,https://neonskyfx.com,Alive,2025-04-23,2025-05-02
2025-05-04 10:00:32,https://nasdaqkfx.com,Alive,2024-11-05,2025-04-01
2025-05-04 10:00:39,https://mprde.com,Alive,2024-11-05,2025-04-25
2025-05-04 10:00:57,https://mancuifcnet.com,Alive,2024-08-07,2025-05-09
2025-05-04 10:00:27,https://madcuifcgroup.com,Alive,2024-11-22,2025-05-02
2025-05-04 10:00:17,https://lszxy-fx.com,Alive,nan,2025-04-28
