Ping_Timestamp_NZ,URL,Status,HTTP_Code,DNS_TLD,nca_registration_date,modification_date
2025-06-19 14:00:02 NZST,https://goldenarcadvisors.com,Not Alive,Error,com,2025-06-17,2025-06-17
2025-06-19 14:00:02 NZST,https://pencpa.com,Not Alive,Error,com,2025-06-13,2025-06-17
2025-06-19 14:00:03 NZST,https://pen-cpa.com,Not Alive,Error,com,2025-06-13,2025-06-17
2025-06-19 14:00:04 NZST,https://bluspringfinancials.org/,Alive,200,org,2025-06-13,2025-06-17
2025-06-19 14:00:04 NZST,https://pen-cpa.com,Not Alive,Error,com,2025-06-13,2025-06-17
2025-06-19 14:00:05 NZST,https://zentroglobalbank.com/,Alive,200,com,2025-06-13,2025-06-16
2025-06-19 14:00:06 NZST,https://windvaletrust.online/,Alive,200,online,2025-06-13,2025-06-16
2025-06-19 14:00:07 NZST,https://veritasapexbank.com/,Alive,200,com,2025-06-13,2025-06-16
2025-06-19 14:00:10 NZST,https://vaulttrustglobal.online/,Alive,200,online,2025-06-13,2025-06-16
2025-06-19 14:00:10 NZST,https://www.unionedgecapital.org/,Not Alive,Error,org,2025-06-13,2025-06-16
2025-06-19 14:00:11 NZST,https://veritasapexbank.com/,Alive,200,com,2025-06-13,2025-06-16
2025-06-19 14:00:12 NZST,https://unbbs.online/,Alive,200,online,2025-06-13,2025-06-16
2025-06-19 14:00:12 NZST,https://www.trustapexalliance.com/,Not Alive,Error,com,2025-06-13,2025-06-16
2025-06-19 14:00:13 NZST,https://steadfastpremierbnk.org/,Alive,200,org,2025-06-13,2025-06-16
2025-06-19 14:00:14 NZST,http://www.standardsafetrust.org/,Alive,200,org,2025-06-13,2025-06-16
2025-06-19 14:00:16 NZST,https://standardgroups.org/,Alive,200,org,2025-06-13,2025-06-16
2025-06-19 14:00:16 NZST,https://www.standardchrtrev.com/,Alive,200,com,2025-06-13,2025-06-16
2025-06-19 14:00:17 NZST,https://stabilitytrustcu.online/,Alive,200,online,2025-06-13,2025-06-16
2025-06-19 14:00:18 NZST,https://solviumcapital.org/,Not Alive,Error,org,2025-06-13,2025-06-16
2025-06-19 14:00:18 NZST,https://www.solidunioncapitals.com/,Not Alive,Error,com,2025-06-13,2025-06-16
2025-06-19 14:00:19 NZST,https://www.skyfinanceholdings.com/,Not Alive,Error,com,2025-06-13,2025-06-16
2025-06-19 14:00:20 NZST,https://www.shieldoptimatrust.online/,Alive,200,online,2025-06-13,2025-06-16
2025-06-19 14:00:21 NZST,https://www.rfitrustglobal.com,Alive,200,com,2025-06-13,2025-06-16
2025-06-19 14:00:22 NZST,https://reaquityfinance.com/,Alive,200,com,2025-06-13,2025-06-16
2025-06-19 14:00:22 NZST,https://prestigecrestheights.online/,Alive,200,online,2025-06-13,2025-06-16
2025-06-19 14:00:23 NZST,https://pillarheritagesave.pro/,Not Alive,Error,pro,2025-06-13,2025-06-16
2025-06-19 14:00:23 NZST,https://originspringtrust.online/,Alive,200,online,2025-06-13,2025-06-16
2025-06-19 14:00:24 NZST,https://www.opulentmarktrust.online/,Alive,200,online,2025-06-13,2025-06-16
2025-06-19 14:00:25 NZST,https://noventrawealthbank.com,Alive,200,com,2025-06-13,2025-06-16
2025-06-19 14:00:26 NZST,https://novapinnacle.org/,Alive,200,org,2025-06-13,2025-06-16
2025-06-19 14:00:26 NZST,https://www.novatrustway.online/,Alive,200,online,2025-06-13,2025-06-16
