Timestamp,URL,Status,nca_registration_date,modification_date
2025-05-03 10:00:30,https://capitalsxplus.com,Alive,2025-05-02,2025-05-02
2025-05-03 10:00:37,https://zodiamarkets.vip,Alive,2025-02-17,2025-04-28
2025-05-03 10:00:36,https://ylchat.com,Alive,2024-08-07,2025-04-25
2025-05-03 10:00:54,https://aaaxmcfd.com,Alive,2025-05-02,2025-04-01
2025-05-03 10:00:30,https://aaaxmglomarkets.com,Not Alive,2025-04-16,2025-04-01
2025-05-03 10:00:53,https://xchar.cc,Alive,2024-08-07,2025-04-01
2025-05-03 10:00:20,https://v3option.com,Not Alive,2025-02-17,2025-04-28
2025-05-03 10:00:43,https://trademx365.com,Alive,2025-04-16,2025-05-09
2025-05-03 10:00:28,https://catradeteinc.com,Alive,2025-03-28,2025-04-01
2025-05-03 10:00:51,https://trademate.pro,Alive,2025-02-17,2025-05-02
2025-05-03 10:00:30,https://tradematemx.com,Not Alive,2025-05-06,2025-04-01
2025-05-03 10:00:36,https://tpcmetatrader.com,Alive,2024-08-07,2025-04-25
2025-05-03 10:00:18,https://tmgmltd.com,Alive,2025-05-06,2025-04-25
2025-05-03 10:00:53,https://temaketltd.com,Not Alive,nan,2025-04-25
2025-05-03 10:00:20,https://tauforex.net,Alive,2024-08-07,2025-04-01
2025-05-03 10:00:26,https://tasmaltd.com,Not Alive,2025-02-17,2025-04-28
2025-05-03 10:00:17,https://tasmanltd.com,Alive,2025-03-28,2025-04-25
2025-05-03 10:00:56,https://straitsfxvip.com,Not Alive,2025-05-02,2025-04-01
2025-05-03 10:00:26,https://straitsfx.com,Alive,2025-02-17,2025-05-09
2025-05-03 10:00:54,https://stockfxmarkets.com,Not Alive,2024-08-07,2025-04-28
2025-05-03 10:00:40,https://pcssgapro.gdcyls.com,Not Alive,nan,2025-04-28
2025-05-03 10:00:53,https://pcssgapro.glennallan.com,Not Alive,2025-03-28,2025-04-25
2025-05-03 10:00:35,https://sqlqdmarts.com,Not Alive,2025-04-30,2025-05-02
2025-05-03 10:00:28,https://sownotx.com,Not Alive,2025-04-30,2025-04-01
2025-05-03 10:00:13,https://skylineltdfx.com,Not Alive,2025-04-30,2025-04-28
2025-05-03 10:00:26,https://skncoin.com,Not Alive,2024-11-05,2025-05-02
2025-05-03 10:00:39,https://sknfx.net,Alive,nan,2025-05-09
2025-05-03 10:00:52,https://sstraderltd.com,Not Alive,2025-04-17,2025-04-28
2025-05-03 10:00:42,https://ssjtcf-forex.com,Not Alive,2025-04-17,2025-04-28
2025-05-03 10:00:26,https://shtne.vip,Not Alive,2025-05-02,2025-04-28
2025-05-03 10:00:55,https://ssjtcf-forex.com,Not Alive,2025-02-17,2025-05-02
2025-05-03 10:00:54,https://sedxltd.com,Alive,2025-04-16,2025-04-01
2025-05-03 10:00:29,https://saxoasin.com,Not Alive,2024-08-07,2025-05-09
2025-05-03 10:00:13,https://saxobankasia.com,Alive,2025-04-30,2025-04-01
2025-05-03 10:00:27,https://rivergloballtd.com,Not Alive,2025-05-06,2025-05-09
2025-05-03 10:00:16,https://prudentialweb.bizdw.com,Not Alive,2025-04-16,2025-04-01
2025-05-03 10:00:30,https://pepperstonevip.com,Alive,2025-04-16,2025-04-25
2025-05-03 10:00:29,https://parrtd.com,Alive,2025-04-29,2025-05-09
2025-05-03 10:00:39,https://onewaytex.com,Alive,2025-04-30,2025-04-25
2025-05-03 10:00:28,https://xynnyse.com,Alive,2025-03-28,2025-04-28
2025-05-03 10:00:12,https://yqanyse.com,Alive,2025-04-23,2025-04-28
2025-05-03 10:00:57,https://yqenyse.com,Not Alive,2025-04-23,2025-04-01
2025-05-03 10:00:53,https://novalimited.info,Alive,2024-11-22,2025-04-28
2025-05-03 10:00:46,https://newsmarketsltd.com,Not Alive,2025-04-30,2025-04-28
2025-05-03 10:00:14,https://neonskytd.com,Not Alive,2025-03-28,2025-05-02
2025-05-03 10:00:51,https://neonskyfx.com,Not Alive,2025-04-23,2025-04-28
2025-05-03 10:00:58,https://nasdaqkfx.com,Alive,2025-04-30,2025-04-28
2025-05-03 10:00:34,https://mprde.com,Not Alive,2024-11-22,2025-05-02
2025-05-03 10:00:36,https://mancuifcnet.com,Not Alive,2025-04-30,2025-04-01
2025-05-03 10:00:12,https://madcuifcgroup.com,Not Alive,2025-04-29,2025-04-01
2025-05-03 10:00:34,https://lszxy-fx.com,Not Alive,2024-08-07,2025-04-01
2025-05-03 10:00:54,https://lamboxfx.cc,Alive,2024-11-05,2025-04-25
2025-05-03 10:00:18,https://libertyfxltd.com,Not Alive,2025-02-17,2025-05-09
2025-05-03 10:00:50,https://lesenmaks.cc,Alive,2025-02-17,2025-04-28
2025-05-03 10:00:21,https://kyros.vip,Not Alive,2025-03-28,2025-05-02
2025-05-03 10:00:25,https://kmaicc.vip,Alive,2025-02-17,2025-05-09
2025-05-03 10:00:24,https://kmaicc.xyz,Not Alive,2025-04-17,2025-04-28
2025-05-03 10:00:11,https://mt5pro.vip,Not Alive,2025-02-17,2025-04-25
2025-05-03 10:00:17,https://kkrrh.com,Not Alive,2024-08-07,2025-04-28
2025-05-03 10:00:15,https://kcmtradeint.com,Alive,2025-04-30,2025-04-25
2025-05-03 10:00:40,https://kcmtradeint.com,Alive,2025-02-17,2025-04-01
2025-05-03 10:00:33,https://jhmfxltd.com,Alive,2025-04-17,2025-04-01
2025-05-03 10:00:48,https://ivisiontrade.com,Alive,2025-05-02,2025-04-25
2025-05-03 10:00:39,https://iuxmarketsfx.com,Alive,2025-02-17,2025-04-01
2025-05-03 10:00:54,https://intraglobalfx.com,Not Alive,2025-05-02,2025-04-01
