Ping_Timestamp_NZ,URL,Status,HTTP_Code,DNS_TLD,nca_registration_date,modification_date
2025-05-16 09:37:40 NZST,https://bennetinvestment.com,Alive,200,com,2025-05-13,2025-05-13
2025-05-16 09:37:41 NZST,https://smartfactoryfx.com,Not Alive,Error,com,2025-05-12,2025-05-13
2025-05-16 09:37:43 NZST,https://homnifi.com,Alive,200,com,2025-05-09,2025-05-13
2025-05-16 09:37:44 NZST,https://b2pay.app,Alive,200,app,2025-05-09,2025-05-13
2025-05-16 09:37:45 NZST,https://shiiro.com,Alive,200,com,2025-05-09,2025-05-13
2025-05-16 09:37:46 NZST,https://xpro.gitbook.io,Alive,200,io,2025-05-09,2025-05-13
2025-05-16 09:37:49 NZST,https://xbackoffice.myxpro.app,Status 500,500,app,2025-05-09,2025-05-13
2025-05-16 09:37:50 NZST,https://capitalsxplus.com,Alive,200,com,2025-05-06,2025-05-09
2025-05-16 09:37:50 NZST,https://zodiamarkets.vip,Not Alive,Error,vip,2025-02-17,2025-05-09
2025-05-16 09:37:51 NZST,https://ylchat.com,Not Alive,Error,com,2025-02-17,2025-05-09
2025-05-16 09:37:51 NZST,https://aaaxmcfd.com,Not Alive,Error,com,2025-02-17,2025-05-09
2025-05-16 09:37:52 NZST,https://aaaxmglomarkets.com,Not Alive,Error,com,2025-02-17,2025-05-09
2025-05-16 09:37:52 NZST,https://xchar.cc,Not Alive,Error,cc,2025-02-17,2025-05-09
2025-05-16 09:37:55 NZST,https://v3option.com,Alive,200,com,2025-02-17,2025-05-09
2025-05-16 09:37:55 NZST,https://trademx365.com,Not Alive,Error,com,2025-02-17,2025-05-09
2025-05-16 09:38:01 NZST,https://catradeteinc.com,Not Alive,Error,com,2025-02-17,2025-05-09
2025-05-16 09:38:01 NZST,https://trademate.pro,Not Alive,Error,pro,2025-02-17,2025-05-09
2025-05-16 09:38:02 NZST,https://tradematemx.com,Not Alive,Error,com,2025-02-17,2025-05-09
2025-05-16 09:38:02 NZST,https://tpcmetatrader.com,Not Alive,Error,com,2025-02-17,2025-05-09
2025-05-16 09:38:03 NZST,https://tmgmltd.com,Not Alive,Error,com,2025-02-17,2025-05-09
2025-05-16 09:38:03 NZST,https://temaketltd.com,Not Alive,Error,com,2025-02-17,2025-05-09
2025-05-16 09:38:04 NZST,https://tauforex.net,Not Alive,Error,net,2025-02-17,2025-05-09
2025-05-16 09:38:05 NZST,https://tasmaltd.com,Not Alive,Error,com,2025-02-17,2025-05-09
2025-05-16 09:38:05 NZST,https://tasmanltd.com,Not Alive,Error,com,2025-02-17,2025-05-09
2025-05-16 09:38:06 NZST,https://straitsfxvip.com,Not Alive,Error,com,2025-02-17,2025-05-09
2025-05-16 09:38:06 NZST,https://straitsfx.com,Not Alive,Error,com,2025-02-17,2025-05-09
2025-05-16 09:38:07 NZST,https://stockfxmarkets.com,Not Alive,Error,com,2025-02-17,2025-05-09
2025-05-16 09:38:07 NZST,https://pcssgapro.gdcyls.com,Not Alive,Error,com,2025-02-17,2025-05-09
2025-05-16 09:38:08 NZST,https://pcssgapro.glennallan.com,Alive,200,com,2025-02-17,2025-05-09
2025-05-16 09:38:09 NZST,https://sqlqdmarts.com,Not Alive,Error,com,2025-02-17,2025-05-09
2025-05-16 09:38:09 NZST,https://sownotx.com,Not Alive,Error,com,2025-02-17,2025-05-09
